"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8BKDZ7LC","book","1994","Glasgow, Kathleen","Burarra-Gun-nartpa dictionary: With English finder list","","0-86892-354-0","","","","","1994","2023-02-12 14:03:45","2023-02-12 14:05:10","","","928","","","","","Burarra-Gun-Nartpa Dictionary","","","","","Summer Institute of Linguistics, Australian Aborigines and Islanders Branch","Darwin, Australia","","","","","","mura.aiatsis.gov.au Library Catalog","L B974.003/1","Year: 1994 Description: 928 p.; ill., map Local call number: L B974.003/1 Local call number: REF 499.15 GLA Accession no: 10744b ; 10745b Access: Not for Inter-Library Loan Annotation: Illustrated Burarra-Gun-nartpa dictionary with sentence examples and synonyms; English finder list; list of morpho -phonemic changes, description of word classes Topical: Language - Linguistics - Grammar and syntax - Parts of speech Topical: Language - Linguistics - Phonology - Phonemes Topical: Language - Vocabulary - Dictionaries and glossaries Place: Arnhem Land (NT) Language/Group: Burarra language (N82) (NT SD53-02) Language/Group: Burarra people (N135) (NT SD53-03) Language/Group: Burarra people (N82) (NT SD53-02) Language/Group: Gun-nartpa / Gunardba language (N81) (NT SD53-02) Language/Group: Gun-nartpa / Gunardba people (N81) (NT SD53-02)","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P8C64Z8Y","book","2004","Breen, Gavan","Innamincka words: Yandruwandha dictionary and stories","","0-85883-548-7","","","","","2004","2023-02-12 14:03:45","2023-02-12 14:05:10","","","218","","","","","Innamincka Words","Pacific Linguistics","559","","","Pacific Linguistics","Canberra","","","","","","orbis.library.yale.edu Library Catalog","PL7101.I5 I55 2004","","","","","#nosource; fix_chirila_key","Languages; Folklore; Aboriginal Australians; Innamincka (S. Aust.); Innamincka language; Yandruwandha (Australian people)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UMTX3MCL","manuscript","2003","Bowern, Claire","Supplement to Ardiyooloon Bardi ngaanka: One Arm Point Bardi dictionary","","","","","","","2003","2023-02-12 14:03:45","2023-02-12 14:05:10","","","","","","","","","","","","","","","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RCB7J6B7","book","1999","Aklif, G.","Ardiyooloon Bardi ngaanka: One Arm Point Bardi dictionary","","","","","","","1999","2023-02-12 14:03:45","2023-02-12 14:05:10","","","","","","","","Ardiyooloon Bardi ngaanka","","","","","Kimberley Language Resource Centre","","","","","","","Google Scholar","0022","","","","","#nosource; fix_chirila_key","Languages; English language; Aboriginal Australians; Bard language; Bard; English; Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R24BMBAY","journalArticle","1998","O'Grady, Geoff N.","Toward a Proto-Pama-Nyungan Stem List, Part I: Sets J1-J25","Oceanic Linguistics","","0029-8115","10.2307/3623409","http://www.jstor.org/stable/3623409","This tabular display of 25 Proto-Pama-Nyungan stems in *j- and their reflexes represents a small part of a ""Top Down"" type of study embracing ten of the thirteen initial consonants (i.e., all but velars, under which rubric 1,561 putative cognate sets are presented in Fitzgerald 1997a). Data from sixty languages are used; of these, about 30 figure prominently in the comparisons. Some cognates span the entire width of the Australian continent. The uncovering of such cognates-at-a-distance throws further useful light on the vast Pama-Nyungan language family, which occupied seven-eighths of the area of Australia. The degree of plausibility of each putative cognate is quantified on a scale from zero to five, in keeping, for example, with the Kluge etymological dictionary of German, which qualifies many etymologies with vielleicht ""perhaps,"" unklar ""unclear,"" and so forth. The work is conducted in the belief, contra Heath (1994), that the reconstructible lexicon of Proto-Pama-Nyungan will ultimately amount not to a mere few dozen, but rather to several thousand. This accords with Hale's (pers. comm., 1961) assertion that Pama-Nyungan is the largest coherent genetic linguistic construct in Australia. The tabulation of the 25 cognate sets is preceded by a discussion of a number of problems on the phonological, morphological, and semantic levels that arise in Pama-Nyungan comparative work. Interestingly, a number of these problems, such as sporadic word-initial nasal gradation, sporadic medial prenasalization, and sporadic vowel fronting, have parallels in Austronesian.","1998-12-01","2023-02-12 14:03:45","2023-02-12 14:05:10","2013-06-06 19:35:30","209-233","","2","37","","Oceanic Linguistics","Toward a Proto-Pama-Nyungan Stem List, Part I","","","","","","","","Copyright © 1998 University of Hawai'i Press","","","","JSTOR","","ArticleType: research-article / Full publication date: Dec., 1998 / Copyright © 1998 University of Hawai'i Press","","/Users/clb3/Zotero/storage/GARXAKI5/O'Grady - 1998 - Toward a Proto-Pama-Nyungan Stem List, Part I Set.pdf","","fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FC6YLKVC","book","1949","Buck, Carl D.","A dictionary of selected synonyms in the principal IE languages","","","","","","","1949","2023-02-12 14:03:45","2023-02-12 14:05:10","","","","","","","","","","","","","University of Chicago Press","Chicago","","","","","","Google Scholar","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXUWQZ6Q","book","2004","Webb, V.","Nyiyaparli Dictionary and Finder lists","","","","","","","2004","2023-02-12 14:03:45","2023-02-12 14:05:10","","","","","","","","","","","","","Wangka Maya Pilbara Aboriginal Language Centre","South Hedland, W.A.","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TJSWUCSQ","book","2004","Geytenbeek, B.; Geytenbeek, H.","Nyuangumarta-English Dictionary","","","","","","","2004","2023-02-12 14:03:45","2023-02-12 14:05:10","","","","","","","","","","","","","Australian Institute of Aboriginal and Torres Strait Islander Studies","Canberra","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBAXDI8N","book","1993","Peile, Anthony Rex","A basic Kukatja to English dictionary","","","","","","","1993","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0504","","","","Lurnpa Catholic School","Wirramanu (Balgo), Australia","","","","","","","","tex.ids= valiquette1993b","","","","Western Desert Language; Australian Languages; dictionary; lexicography; Kukatja; #nosource; fix_chirila_key","","Valiquette, Hilaire","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YVKSZ7LW","book","1992","Austin, Peter","A dictionary of Gamilaraay, northern New South Wales","","","","","","","1992","2023-02-12 15:18:09","2023-02-12 15:19:43","","","62","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0434","","","","Department of Linguistics, La Trobe University","Bundoora, Australia","","","","","","Google Scholar","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A3QGULDV","computerProgram","2006","Galdeano, Dom Seraphim","A grammar and dictionary of the Pela Language","","","","","","","2006","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","","","Open access for downloading","","","","","","http://www.aiatsis.gov.au/research/language/Aseda/0798_Access.zip See also pMS 6178 for print version accompanied by cd-rom This item is part of the AIATSIS Australian Indigenous Languages Collection","","","","Miwa; Worrorran languages; Gunin; #nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","English","","","","","","","","",""
"SHIMCJ2T","manuscript","","Galdeano, Dom Seraphim","A grammar and dictionary of the Pela language used by the Kuini tribe of Kalumburu : volume 1","","","","","","Annotation: Grammar - pronunciation, parts of speech; thematic wordlist; Pela / English, English / Pela dictionary","","2023-02-12 15:18:09","2023-02-12 15:19:43","","","48","","","","","","","","","","","","English","Open access - reading. Closed copying & limited use. Not for Inter-Library Loan","","","","","","""Vol. 1 is the Grammar and Dictionary. The grammar section explains the construction of the language. Vol. 2 contains the full conjugations of 244 verbs of the Pela language.""--Correspondence accompanying item. Vol. 2 [Conjugated verbs] also available through ASEDA. Contact: ASEDA, AIATSIS, GPO Box 553, Canberra ACT 2601, AUSTRALIA fax +61-2-62497714 email: aseda@aiatsis.gov.au ; http://www.aiatsis.gov.au/","","","","Miwa; Worrorran languages; Gunin; #nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HC5L3S2S","book","1844","Schürmann, C. W.","A vocabulary of the Parnkalla language spoken by the natives inhabiting the western shores of Spencers Gulf, to which is prefixed a collection of grammatical rules hitherto ascertained","","","","","","","1844","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0256","","","","Dehane","Adelaide, Australia","","","","","","mura.aiatsis.gov.au Library Catalog","B S394.44/V1","Year: 1844 Description: viii, 88 p Local call number: B S394.44/V1 Accession no: 879 ; 879a Annotation: Full account of grammatical system; vocabulary has extensive manuscript additions Topical: Language - Linguistics - Grammar and syntax - Affixes Topical: Language - Vocabulary Place: South Australia - West (SA SH53, SI53) Place: Adelaide (SE SA SI54-09) Language/Group: Parnkalla / Barngarla / Bungala language (L6) (SA SI53-04) Language/Group: Parnkalla / Barngarla / Bungala / Banggarla people (L6) (SA SI53-04)","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7U86YI2H","manuscript","1990","Thomas, Bruce; Thomas, Frank; Geytenbeek, Brian","Aboriginal languages of the Pilbara: Nyangumarta","","","","","","","1990","2023-02-12 15:18:09","2023-02-12 15:19:43","","","","","","","","","","","","","","Aboriginal Studies Electronic Data Archive (ASEDA) 0321","","","","","","","","","","","","#nosource; fix_chirila_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
